fold,acc,f1,auc,train_n,val_n
1,0.5204081632653061,0.5154639175257731,0.5662473794549265,78,98
2,0.41836734693877553,0.0,0.5432178005990586,176,98
3,0.5306122448979592,0.28125,0.5204166666666665,274,98
4,0.4489795918367347,0.03571428571428571,0.5625792811839324,372,98
5,0.3979591836734694,0.16901408450704225,0.4678308823529412,470,98
6,0.42857142857142855,0.40425531914893614,0.4865828092243187,568,98
7,0.5714285714285714,0.6612903225806451,0.5896448438168592,666,98
8,0.5816326530612245,0.5393258426966292,0.6204013377926422,764,98
9,0.5102040816326531,0.4146341463414634,0.5719063545150501,862,98
10,0.3877551020408163,0.2857142857142857,0.3811386353759235,960,98
11,0.47959183673469385,0.35443037974683544,0.41875,1058,98
12,0.46938775510204084,0.44680851063829785,0.5480769230769231,1156,98
13,0.37755102040816324,0.26506024096385544,0.5331065759637188,1254,98
14,0.5102040816326531,0.48936170212765956,0.5164789319983312,1352,98
15,0.5204081632653061,0.5346534653465347,0.5668103448275863,1450,98
16,0.5714285714285714,0.6379310344827587,0.5897108843537415,1548,98
17,0.5612244897959183,0.5904761904761905,0.5345911949685535,1646,98
18,0.5102040816326531,0.5471698113207547,0.5525,1744,98
19,0.4489795918367347,0.34146341463414637,0.5555555555555556,1842,98
20,0.46938775510204084,0.16129032258064516,0.518773466833542,1940,98
21,0.5408163265306123,0.5871559633027523,0.5249999999999999,2038,98
