fold,acc,f1,auc,train_n,val_n
1,0.4838709677419355,0.058823529411764705,0.5318122555410691,104,124
2,0.4032258064516129,0.1956521739130435,0.536231884057971,228,124
3,0.5,0.44642857142857145,0.5490502211813688,352,124
4,0.4596774193548387,0.37383177570093457,0.5103174603174604,476,124
5,0.45161290322580644,0.0,0.5496323529411765,600,124
6,0.5564516129032258,0.6308724832214765,0.558974358974359,724,124
7,0.5241935483870968,0.5042016806722689,0.550351288056206,848,124
8,0.5483870967741935,0.4716981132075472,0.5828518907563025,972,124
9,0.5564516129032258,0.5454545454545454,0.5723958333333333,1096,124
10,0.5887096774193549,0.6871165644171779,0.5915611814345992,1220,124
11,0.41935483870967744,0.0,0.4461805555555555,1344,124
12,0.41935483870967744,0.21739130434782608,0.4125267094017093,1468,124
13,0.5483870967741935,0.5882352941176471,0.5815340909090909,1592,124
14,0.5080645161290323,0.5040650406504065,0.5204623970236514,1716,124
15,0.5725806451612904,0.6074074074074074,0.5689064558629776,1840,124
16,0.5161290322580645,0.4642857142857143,0.5687352710133543,1964,124
17,0.4435483870967742,0.34285714285714286,0.5520862116606797,2088,124
18,0.5,0.3541666666666667,0.561128526645768,2212,124
19,0.47580645161290325,0.4247787610619469,0.5597636314799892,2336,124
20,0.6048387096774194,0.6474820143884892,0.6226309921962095,2460,124
21,0.4838709677419355,0.49206349206349204,0.5627840909090909,2584,124
