fold,acc,f1,auc,train_n,val_n
1,0.5365853658536586,0.6984126984126984,0.530701754385965,103,123
2,0.5772357723577236,0.7011494252873564,0.5744936034115139,226,123
3,0.5203252032520326,0.6844919786096256,0.5015889830508474,349,123
4,0.5528455284552846,0.6857142857142857,0.5038400423728814,472,123
5,0.5528455284552846,0.6258503401360545,0.5572033898305085,595,123
6,0.4878048780487805,0.3368421052631579,0.5209221748400853,718,123
7,0.5203252032520326,0.23376623376623376,0.497355896351137,841,123
8,0.5284552845528455,0.5245901639344263,0.5641438539989265,964,123
9,0.5447154471544715,0.5087719298245614,0.5850487540628386,1087,123
10,0.42276422764227645,0.36036036036036034,0.5326625386996904,1210,123
11,0.5853658536585366,0.6792452830188679,0.6064171122994653,1333,123
12,0.6016260162601627,0.5882352941176471,0.6082089552238806,1456,123
13,0.5934959349593496,0.7340425531914894,0.5180639823496966,1579,123
14,0.5284552845528455,0.5538461538461539,0.5997354497354497,1702,123
15,0.5609756097560976,0.7065217391304348,0.47290305010893247,1825,123
16,0.5447154471544715,0.654320987654321,0.5548483206933912,1948,123
17,0.5365853658536586,0.6415094339622641,0.5299191374663073,2071,123
18,0.5609756097560976,0.6447368421052632,0.5836898395721924,2194,123
19,0.4796747967479675,0.5362318840579711,0.5023872679045093,2317,123
20,0.5528455284552846,0.6206896551724138,0.5696438064859117,2440,123
21,0.5284552845528455,0.5396825396825397,0.5465608465608465,2563,123
