fold,acc,f1,auc,train_n,val_n
1,0.5652830188679245,0.5609756097560976,0.5962683432411948,2630,2650
2,0.5656603773584906,0.5554268057164928,0.6060807529740058,5280,2650
3,0.5792452830188679,0.5656408258667706,0.6212018244572286,7930,2650
4,0.5981132075471698,0.6184163382300251,0.6385765294031864,10580,2650
5,0.5833962264150944,0.593519882179676,0.6101470541325082,13230,2650
mean,0.5783396226415094,0.5787958923498124,0.6144549008416248,,
std,0.013680481401533865,0.02656740514345298,0.01617721171794208,,
baseline,0.5058157812008802,,,,
