fold,acc,f1,auc,train_n,val_n
1,0.4344262295081967,0.3783783783783784,0.48676801801801806,102,122
2,0.5163934426229508,0.6589595375722543,0.5495251017639077,224,122
3,0.6065573770491803,0.7362637362637363,0.6561723280861641,346,122
4,0.639344262295082,0.7731958762886598,0.51875,468,122
5,0.5983606557377049,0.7351351351351352,0.5093795093795094,590,122
6,0.5327868852459017,0.6951871657754011,0.4913630229419704,712,122
7,0.5983606557377049,0.7379679144385026,0.5516483516483517,834,122
8,0.5409836065573771,0.6744186046511628,0.5245390070921986,956,122
9,0.5983606557377049,0.7487179487179487,0.47791445345261385,1078,122
10,0.5819672131147541,0.7182320441988951,0.5436906377204885,1200,122
11,0.5901639344262295,0.7023809523809523,0.6374491180461329,1322,122
12,0.639344262295082,0.7731958762886598,0.5012987012987014,1444,122
13,0.6557377049180327,0.75,0.6436546840958607,1566,122
14,0.5655737704918032,0.7225130890052356,0.40689089417555374,1688,122
15,0.5901639344262295,0.6753246753246753,0.667032967032967,1810,122
16,0.5327868852459017,0.6705202312138728,0.5199085283831046,1932,122
17,0.5081967213114754,0.6666666666666666,0.5073924731182795,2054,122
18,0.5163934426229508,0.609271523178808,0.5172320217096336,2176,122
19,0.5655737704918032,0.6394557823129252,0.5730461198563933,2298,122
20,0.6475409836065574,0.6861313868613139,0.6574675324675324,2420,122
21,0.5983606557377049,0.7065868263473054,0.5651745495495496,2542,122
