fold,acc,f1,auc,train_n,val_n
1,0.5873015873015873,0.74,0.50987525987526,106,126
2,0.626984126984127,0.7707317073170732,0.5710597826086956,232,126
3,0.5317460317460317,0.694300518134715,0.49468757905388316,358,126
4,0.6190476190476191,0.7647058823529411,0.4556623931623932,484,126
5,0.6031746031746031,0.7524752475247525,0.39342105263157895,610,126
6,0.5238095238095238,0.6875,0.4220959595959596,736,126
7,0.5396825396825397,0.6947368421052632,0.5344696969696969,862,126
8,0.5476190476190477,0.6779661016949152,0.5820742637644046,988,126
9,0.5317460317460317,0.6242038216560509,0.5606099767381751,1114,126
10,0.48412698412698413,0.5859872611464968,0.5612373737373738,1240,126
11,0.5158730158730159,0.5850340136054422,0.5504679989881103,1366,126
12,0.5317460317460317,0.6193548387096774,0.5056338028169014,1492,126
13,0.5714285714285714,0.6197183098591549,0.5863900834809005,1618,126
14,0.6190476190476191,0.7647058823529411,0.42826086956521736,1744,126
15,0.48412698412698413,0.6524064171122995,0.5053245436105477,1870,126
16,0.5873015873015873,0.6976744186046512,0.5515504903260005,1996,126
17,0.5873015873015873,0.6904761904761905,0.550088540349102,2122,126
18,0.5873015873015873,0.7011494252873564,0.5456615228940045,2248,126
19,0.6587301587301587,0.6993006993006993,0.6450704225352112,2374,126
20,0.4603174603174603,0.6179775280898876,0.5905641285099925,2500,126
21,0.49206349206349204,0.5733333333333334,0.4967237903225807,2626,126
