fold,acc,f1,auc,train_n,val_n
1,0.4918032786885246,0.6075949367088608,0.5009408602150538,102,122
2,0.5327868852459017,0.5648854961832062,0.539187643020595,224,122
3,0.4918032786885246,0.3404255319148936,0.4818722943722944,346,122
4,0.5573770491803278,0.578125,0.6004901960784313,468,122
5,0.5245901639344263,0.0,0.5305765086206896,590,122
6,0.45081967213114754,0.3963963963963964,0.5097872340425532,712,122
7,0.4344262295081967,0.1686746987951807,0.5371621621621622,834,122
8,0.5,0.49586776859504134,0.5123873873873873,956,122
9,0.5245901639344263,0.546875,0.5671315285753349,1078,122
10,0.5655737704918032,0.6490066225165563,0.5497835497835498,1200,122
11,0.5245901639344263,0.5538461538461539,0.4906882591093118,1322,122
12,0.5409836065573771,0.5555555555555556,0.578494623655914,1444,122
13,0.5737704918032787,0.6438356164383562,0.5632284382284383,1566,122
14,0.5573770491803278,0.5909090909090909,0.5884604867377632,1688,122
15,0.5327868852459017,0.5957446808510638,0.5208275090858261,1810,122
16,0.5901639344262295,0.6575342465753424,0.5813508340169539,1932,122
17,0.4672131147540984,0.5454545454545454,0.48709677419354835,2054,122
18,0.5901639344262295,0.6527777777777778,0.6204202586206896,2176,122
19,0.5163934426229508,0.49572649572649574,0.5198006465517242,2298,122
20,0.5081967213114754,0.4444444444444444,0.5464861908668308,2420,122
21,0.5,0.5040650406504065,0.524634009009009,2542,122
