fold,acc,f1,auc,train_n,val_n
1,0.45774647887323944,0.26666666666666666,0.5581675708257987,122,142
2,0.5422535211267606,0.7031963470319634,0.43986013986013983,264,142
3,0.5704225352112676,0.659217877094972,0.5824731835660798,406,142
4,0.4859154929577465,0.6540284360189573,0.5666071074052015,548,142
5,0.5140845070422535,0.6101694915254238,0.543452380952381,690,142
6,0.4788732394366197,0.6407766990291263,0.5088434022257551,832,142
7,0.5915492957746479,0.6133333333333333,0.6093253968253968,974,142
8,0.528169014084507,0.5732484076433121,0.5577153110047847,1116,142
9,0.4084507042253521,0.45454545454545453,0.45109250561568315,1258,142
10,0.5492957746478874,0.5294117647058824,0.5948258706467662,1400,142
11,0.528169014084507,0.524822695035461,0.5724275724275725,1542,142
12,0.5140845070422535,0.30303030303030304,0.5139964264443122,1684,142
13,0.44366197183098594,0.04819277108433735,0.45105661881977666,1826,142
14,0.49295774647887325,0.25,0.5743189102564104,1968,142
15,0.4859154929577465,0.3047619047619048,0.5391802290536467,2110,142
16,0.4154929577464789,0.1941747572815534,0.42294554952782804,2252,142
17,0.5492957746478874,0.4482758620689655,0.5181419457735247,2394,142
18,0.4859154929577465,0.4251968503937008,0.5685215946843853,2536,142
19,0.5352112676056338,0.56,0.5705217218805794,2678,142
20,0.5633802816901409,0.5633802816901409,0.5697282285260861,2820,142
21,0.47183098591549294,0.34782608695652173,0.4635167464114832,2962,142
